DATE,TTLCON
2010-01-01,55362
2010-02-01,54986
2010-03-01,60990
2010-04-01,66565
2010-05-01,68903
2010-06-01,74806
2010-07-01,73918
2010-08-01,76554
2010-09-01,75818
2010-10-01,73386
2010-11-01,67318
2010-12-01,60648
2011-01-01,50973
2011-02-01,51017
2011-03-01,57148
2011-04-01,61590
2011-05-01,65430
2011-06-01,72495
2011-07-01,72253
2011-08-01,76986
2011-09-01,75871
2011-10-01,73783
2011-11-01,68203
2011-12-01,62582
2012-01-01,56608
2012-02-01,56994
2012-03-01,61803
2012-04-01,67002
2012-05-01,72228
2012-06-01,77580
2012-07-01,78305
2012-08-01,81152
2012-09-01,79404
2012-10-01,80287
2012-11-01,73071
2012-12-01,66022
2013-01-01,58963
2013-02-01,59040
2013-03-01,64343
2013-04-01,70754
2013-05-01,75929
2013-06-01,81157
2013-07-01,84523
2013-08-01,86955
2013-09-01,85998
2013-10-01,86726
2013-11-01,79863
2013-12-01,74072
2014-01-01,67531
2014-02-01,67048
2014-03-01,74034
2014-04-01,80894
2014-05-01,85745
2014-06-01,90877
2014-07-01,92747
2014-08-01,93429
2014-09-01,93375
2014-10-01,95095
2014-11-01,86464
2014-12-01,80385
2015-01-01,73171
2015-02-01,73778
2015-03-01,82916
2015-04-01,90647
2015-05-01,97280
2015-06-01,105593
2015-07-01,106370
2015-08-01,107303
2015-09-01,106359
2015-10-01,103878
2015-11-01,95306
2015-12-01,88092
2016-01-01,79965
2016-02-01,82367
2016-03-01,91939
2016-04-01,96532
2016-05-01,102438
2016-06-01,110801
2016-07-01,110734
2016-08-01,112714
2016-09-01,111628
2016-10-01,110613
2016-11-01,105436
2016-12-01,96226
2017-01-01,86433
2017-02-01,88459
2017-03-01,98283
2017-04-01,102367
2017-05-01,110017
2017-06-01,115035
2017-07-01,115703
2017-08-01,116631
2017-09-01,114433
2017-10-01,112886
2017-11-01,108061
2017-12-01,97535
2018-01-01,89433
2018-02-01,93191
2018-03-01,101444
2018-04-01,107882
2018-05-01,116215
2018-06-01,119712
2018-07-01,122010
2018-08-01,121385
2018-09-01,118968
2018-10-01,115002
2018-11-01,106590
2018-12-01,95415
2019-01-01,88772
2019-02-01,90000
2019-03-01,99683
2019-04-01,106786
2019-05-01,112691
2019-06-01,115887
2019-07-01,118902
2019-08-01,120278
2019-09-01,120078
2019-10-01,118134
2019-11-01,112942
2019-12-01,102703
